market,continent,market_with_online_2018,sales_sekM_2018,sales_percentage_2018,sales_rank_2018,store_number_2018,market_with_online_2019,sales_sekM_2019,sales_percentage_2019,sales_rank_2019,store_number_2019,market_with_online_2020,sales_sekM_2020,sales_percentage_2020,sales_rank_2020,store_number_2020
Australia,Oceania,0,2283,1.09%,24,44,0,2539,1.09%,23,49,1,2036,1.09%,24,49
South Korea,Asia,1,1957,0.93%,25,46,1,2213,0.95%,25,53,1,2091,1.12%,23,55
Greece,Europe,1,1718,0.82%,26,35,1,1869,0.80%,28,35,1,1426,0.76%,28,35
Hungary,Europe,1,1646,0.78%,27,47,1,1903,0.82%,27,47,1,1543,0.82%,27,47
Czech Republic,Europe,1,1610,0.77%,28,52,1,1789,0.77%,30,52,1,1341,0.72%,29,52
Hong Kong,Asia,1,1502,0.71%,29,26,1,1448,0.62%,31,26,1,933,0.50%,32,24
Chile,South America,0,1488,0.71%,30,13,0,1834,0.79%,29,15,0,1002,0.54%,31,17
India,Asia,1,1408,0.67%,31,39,1,2007,0.86%,26,47,1,1568,0.84%,26,49
Portugal,Europe,1,1179,0.56%,32,32,1,1309,0.56%,33,29,1,890,0.48%,33,29
Malaysia,Asia,1,1177,0.56%,33,47,1,1360,0.58%,32,47,1,890,0.48%,34,50
Ireland,Europe,1,1104,0.52%,34,24,1,1181,0.51%,35,24,1,1061,0.57%,30,24
Philippines,Asia,1,1007,0.48%,35,34,1,1273,0.55%,34,40,1,742,0.40%,36,41
South Africa,Africa,0,842,0.40%,36,23,0,937,0.40%,37,27,0,774,0.41%,35,27
Singapore,Asia,1,801,0.38%,37,12,1,822,0.35%,38,14,1,466,0.25%,43,13
Peru,South America,0,763,0.36%,38,11,0,970,0.42%,36,13,0,579,0.31%,40,15
Slovakia,Europe,1,750,0.36%,39,25,1,813,0.35%,39,27,1,718,0.38%,37,29
Croatia,Europe,1,719,0.34%,40,16,1,779,0.33%,40,16,1,614,0.33%,39,17
Bulgaria,Europe,1,635,0.30%,41,21,1,672,0.29%,41,21,1,559,0.30%,41,21
Taiwan,Asia,1,627,0.30%,42,12,1,650,0.28%,42,12,1,666,0.36%,38,13
Slovenia,Europe,1,488,0.23%,43,12,1,505,0.22%,44,12,1,394,0.21%,47,13
Serbia,Europe,0,423,0.20%,44,13,0,459,0.20%,46,14,0,373,0.20%,48,15
Luxembourg,Europe,1,406,0.19%,45,10,1,490,0.21%,45,15,1,432,0.23%,46,14
Colombia,South America,0,405,0.19%,46,4,0,528,0.23%,43,7,0,499,0.27%,42,9
Estonia,Europe,1,381,0.18%,47,12,1,406,0.17%,48,13,1,353,0.19%,50,13
Latvia,Europe,1,356,0.17%,48,8,1,365,0.16%,51,9,1,321,0.17%,51,9
Lithuania,Europe,1,351,0.17%,49,9,1,397,0.17%,50,10,1,356,0.19%,49,10
New Zealand,Oceania,0,284,0.13%,50,6,0,401,0.17%,49,8,0,442,0.24%,45,11
Vietnam,Asia,0,271,0.13%,51,6,0,434,0.19%,47,8,0,453,0.24%,44,9
Kazakhstan,Asia,0,203,0.10%,52,2,0,221,0.09%,55,6,0,174,0.09%,55,6
Iceland,Europe,0,192,0.09%,53,24,0,251,0.11%,53,6,0,221,0.12%,54,7
Macau,Asia,1,120,0.06%,54,2,1,125,0.05%,56,2,1,86,0.05%,59,2
Georgia,Europe,0,102,0.05%,55,2,0,120,0.05%,58,3,0,98,0.05%,57,3
Puerto Rico,North America,1,80,0.04%,56,2,1,122,0.05%,57,2,1,98,0.05%,58,2
Cyprus,Asia,1,79,0.04%,57,1,1,87,0.04%,59,1,1,100,0.05%,56,1
Uruguay,South America,0,64,0.03%,58,1,0,332,0.14%,52,3,0,261,0.14%,52,3
Ukraine,Europe,0,57,0.03%,59,2,0,224,0.10%,54,3,0,235,0.13%,53,5
Bosnia-Herzegovina,Europe,0,0,0.00%,60,0,0,32,0.01%,60,1,0,32,0.02%,61,1
Belarus,Europe,0,0,0.00%,61,0,0,15,0.01%,61,2,0,73,0.04%,60,3
